Customer ID,Customer Name,Customer Email,Customer Phone,Customer Address,Gender,Age
7,John Doe,jd43@gmail.com,88751276,1 Orchard,M,23
8,Jane Doe,jd11@hotmail.com,88751277,2 Orchard,F,24
56,John Smith,js99@yahooo.com.sg,88751278,3 Orchard,M,25
9,Jane Smith,jane123@gamil.com,88751279,4 Orchard,F,26
10,Ryan Doe,Rd12@rocketmail.com,88751280,5 Orchard,M,27
11,Ryan Smith,rsrs1212@gmail.com,88751281,6 Orchard,M,28
12,Emilia Tan,ETan12@gmail.com,88751282,7 Orchard,F,29
13,Sarah Lee,sarahlee@gmail.com,88751283,8 Orchard,F,30
14,Michael Tan,mtan@gmail.com,88751284,9 Orchard,M,31
15,Jessica Lim,jlim@yahoo.com,88751285,10 Orchard,F,32
16,David Wong,dwong@hotmail.com,88751286,11 Orchard,M,33
17,Emily Chen,emilychen@gmail.com,88751287,12 Orchard,F,34
18,Alex Tan,alextan@gmail.com,88751288,13 Orchard,M,35
19,Lily Lim,lilylim@yahoo.com,88751289,14 Orchard,F,36
20,Ethan Lee,ethanlee@gmail.com,88751290,15 Orchard,M,37
